date_id,date,outlet_id,territory_id,device_id,sug_sales_units,eligible_device_units,sug_sales_revenue,accessory_revenue,return_units,passing_surveys,total_surveys
20250130,2025-01-30,OUT-001,T-001,DEV-002,279,396,47423.64,11746.58,5,162,190
20250131,2025-01-31,OUT-001,T-001,DEV-007,310,466,49002.58,14049.49,12,173,190
20250201,2025-02-01,OUT-001,T-001,DEV-006,186,276,31941.43,8380.95,6,109,132
20250202,2025-02-02,OUT-001,T-001,DEV-002,204,288,35705.14,9868.9,5,116,124
20250203,2025-02-03,OUT-001,T-001,DEV-002,278,414,47940.95,12633.73,5,155,193
20250204,2025-02-04,OUT-001,T-001,DEV-002,295,430,50329.76,14211.76,8,167,195
20250205,2025-02-05,OUT-001,T-001,DEV-001,277,394,54188.73,14090.94,9,164,195
20250206,2025-02-06,OUT-001,T-001,DEV-007,271,391,56242.72,14100.9,6,170,198
20250207,2025-02-07,OUT-001,T-001,DEV-006,276,392,42064.83,11379.14,15,167,193
20250208,2025-02-08,OUT-001,T-001,DEV-002,203,300,36070.97,9676.93,8,112,137
20250209,2025-02-09,OUT-001,T-001,DEV-005,190,284,37029.11,9584.95,4,113,131
20250210,2025-02-10,OUT-001,T-001,DEV-002,243,382,47660.7,13226,6,164,191
20250211,2025-02-11,OUT-001,T-001,DEV-001,247,367,49262.15,12268.29,6,157,204
20250212,2025-02-12,OUT-001,T-001,DEV-002,274,402,49989.65,12334.32,9,167,185
20250213,2025-02-13,OUT-001,T-001,DEV-007,305,459,52217.04,14818.38,8,164,186
20250214,2025-02-14,OUT-001,T-001,DEV-008,316,437,44164.29,11538.21,10,164,192
20250215,2025-02-15,OUT-001,T-001,DEV-001,198,293,33622.22,8602.32,5,112,129
20250216,2025-02-16,OUT-001,T-001,DEV-008,222,323,37873.67,9401.54,5,109,134
20250217,2025-02-17,OUT-001,T-001,DEV-002,283,430,42798.98,12250.44,10,170,197
20250218,2025-02-18,OUT-001,T-001,DEV-002,289,409,47165.42,12862.84,10,186,201
20250219,2025-02-19,OUT-001,T-001,DEV-003,225,348,55028.11,15941.15,8,171,193
20250220,2025-02-20,OUT-001,T-001,DEV-005,285,427,53616.89,15910.96,11,161,193
20250221,2025-02-21,OUT-001,T-001,DEV-001,305,469,51536.32,14149.07,9,159,196
20250222,2025-02-22,OUT-001,T-001,DEV-002,235,347,37700.3,9405.24,6,118,131
20250223,2025-02-23,OUT-001,T-001,DEV-006,186,265,30568.96,8610.49,5,115,138
20250224,2025-02-24,OUT-001,T-001,DEV-002,278,401,48144.13,13162.69,8,174,200
20250225,2025-02-25,OUT-001,T-001,DEV-004,291,421,47658.01,13726.57,10,168,190
20250226,2025-02-26,OUT-001,T-001,DEV-005,288,450,55988.03,16259.98,8,169,208
20250227,2025-02-27,OUT-001,T-001,DEV-006,280,408,49900.6,12837.19,11,159,198
20250228,2025-02-28,OUT-001,T-001,DEV-001,284,404,51131.02,15130.13,9,173,202
20250301,2025-03-01,OUT-001,T-001,DEV-003,184,260,33106.07,9086.14,4,117,137
20250302,2025-03-02,OUT-001,T-001,DEV-006,225,352,31976.19,7947.71,8,118,125
20250303,2025-03-03,OUT-001,T-001,DEV-003,323,493,45448.32,13207.12,9,179,200
20250304,2025-03-04,OUT-001,T-001,DEV-004,337,518,45585.37,11343.34,14,178,192
20250305,2025-03-05,OUT-001,T-001,DEV-004,343,492,51782.37,13697.33,13,171,201
20250306,2025-03-06,OUT-001,T-001,DEV-006,270,383,51091.86,15092.62,8,177,211
20250307,2025-03-07,OUT-001,T-001,DEV-006,310,411,50396.04,12560.96,12,175,198
20250308,2025-03-08,OUT-001,T-001,DEV-004,205,284,37405.66,10431.27,7,115,140
20250309,2025-03-09,OUT-001,T-001,DEV-007,181,253,37149.49,10139.52,8,120,143
20250310,2025-03-10,OUT-001,T-001,DEV-007,332,488,45708.44,11815.33,10,167,203
20250311,2025-03-11,OUT-001,T-001,DEV-008,273,398,48207.22,13630.2,3,171,197
20250312,2025-03-12,OUT-001,T-001,DEV-004,272,411,47911.81,12157.77,7,177,202
20250313,2025-03-13,OUT-001,T-001,DEV-004,307,460,42846.24,11336.31,7,178,208
20250314,2025-03-14,OUT-001,T-001,DEV-004,259,414,57696.18,15633.92,12,177,203
20250315,2025-03-15,OUT-001,T-001,DEV-006,179,294,36648.99,10118.17,4,117,131
20250316,2025-03-16,OUT-001,T-001,DEV-008,178,267,36617.16,10558.65,6,117,146
20250317,2025-03-17,OUT-001,T-001,DEV-004,304,422,48164.61,13108.88,11,177,205
20250318,2025-03-18,OUT-001,T-001,DEV-008,262,389,49071.52,13037.7,9,180,199
20250319,2025-03-19,OUT-001,T-001,DEV-001,245,375,48618.8,12838.25,7,182,197
20250320,2025-03-20,OUT-001,T-001,DEV-008,280,436,44734.26,10940.54,11,171,210
20250321,2025-03-21,OUT-001,T-001,DEV-001,310,458,49470.15,13792.38,8,180,206
20250322,2025-03-22,OUT-001,T-001,DEV-008,200,281,36379.45,9585,9,120,129
20250323,2025-03-23,OUT-001,T-001,DEV-006,213,325,35168.62,10363.96,7,121,139
20250324,2025-03-24,OUT-001,T-001,DEV-008,351,507,51956.92,13237.07,9,174,196
20250325,2025-03-25,OUT-001,T-001,DEV-003,332,496,54807.64,13394.25,10,174,212
20250326,2025-03-26,OUT-001,T-001,DEV-004,294,445,56163.28,16226.46,11,175,204
20250327,2025-03-27,OUT-001,T-001,DEV-006,303,441,59568.43,14515.83,10,172,208
20250328,2025-03-28,OUT-001,T-001,DEV-003,310,462,48340.15,14266.9,11,176,215
20250329,2025-03-29,OUT-001,T-001,DEV-005,205,281,32178.31,9443.36,7,120,145
20250330,2025-03-30,OUT-001,T-001,DEV-008,179,268,35540.15,9043.35,4,122,136
20250331,2025-03-31,OUT-001,T-001,DEV-004,276,416,57269.36,15427.4,10,178,199
20250401,2025-04-01,OUT-001,T-001,DEV-004,278,408,49305.71,13749.09,9,174,212
20250402,2025-04-02,OUT-001,T-001,DEV-008,381,547,44267.18,11045.34,13,179,210
20250403,2025-04-03,OUT-001,T-001,DEV-008,299,437,45303.48,12868.51,12,167,199
20250404,2025-04-04,OUT-001,T-001,DEV-003,290,411,54431.32,14853.29,14,178,205
20250405,2025-04-05,OUT-001,T-001,DEV-008,188,284,38172.31,11266.06,6,122,151
20250406,2025-04-06,OUT-001,T-001,DEV-001,214,310,36699.85,10799.03,9,125,143
20250407,2025-04-07,OUT-001,T-001,DEV-007,294,414,48557.8,14055.01,10,184,208
20250408,2025-04-08,OUT-001,T-001,DEV-004,270,409,48515.41,12001.94,7,180,215
20250409,2025-04-09,OUT-001,T-001,DEV-001,327,484,55474.46,15586.18,13,173,211
20250410,2025-04-10,OUT-001,T-001,DEV-004,281,399,59950.47,16664.57,10,188,204
20250411,2025-04-11,OUT-001,T-001,DEV-005,324,449,55514.23,14401.55,10,177,212
20250412,2025-04-12,OUT-001,T-001,DEV-006,199,285,33032.42,8435.22,6,118,134
20250413,2025-04-13,OUT-001,T-001,DEV-001,199,309,35686.44,9671.88,5,119,144
20250414,2025-04-14,OUT-001,T-001,DEV-008,298,466,58082.4,16215.86,11,184,207
20250415,2025-04-15,OUT-001,T-001,DEV-001,286,441,52128.28,13577.16,9,187,210
20250416,2025-04-16,OUT-001,T-001,DEV-007,299,447,40259.9,11136.78,10,177,211
20250417,2025-04-17,OUT-001,T-001,DEV-008,322,493,56877.94,15691.43,13,182,214
20250418,2025-04-18,OUT-001,T-001,DEV-002,310,474,48238.47,13889.58,9,175,212
20250419,2025-04-19,OUT-001,T-001,DEV-004,200,320,34079.99,8632.22,7,117,139
